id,code,type,volatility,threshold,absolute_threshold,policy_min_threshold,history_and_avg_absdelta,impact_score,missed_flag_sample,false_flag_sample,created_at,updated_at,special_term,mad,k_val,category
17,1-65530 salaries and wages,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
18,1-65540 tech salaries,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
19,3-65530 salaries and wages,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
20,4-65530 salaries and wages,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
21,5001 direct labor - wages,cogs,fixed,"[{""company"":{""id"":318655,""name"":""Clay Entertainment""},""thresholds"":[{""value"":0.21,""flagrate"":0.14,""confidence"":0,""created_on"":""2026-06-03T14:52:26Z"",""closing_month"":""12-2025""},{""value"":0.15,""flagrate"":0.21,""confidence"":0,""created_on"":""2026-06-03T14:54:31Z"",""closing_month"":""03-2026""}]}]",,0.150,"[{""company"":{""id"":318655,""name"":""Clay Entertainment""},""history"":[{""06-2025"":20869.25},{""07-2025"":21923.09},{""09-2025"":21733.86},{""03-2025"":20192.32},{""04-2025"":21923.1},{""08-2025"":20175.4},{""10-2025"":19915.4},{""11-2025"":20625.1},{""12-2025"":21627.83},{""01-2025"":17807.72},{""02-2025"":12030.78},{""05-2025"":21923.09},{""01-2026"":20687.49},{""02-2026"":16703.56},{""03-2026"":18397.81}],""avg_absdelta"":0.13,""coefficient_of_variation"":1.29}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
22,5001 direct labor salaries & wages,cogs,fixed,"[{""company"":{""id"":290228,""name"":""FORMM""},""thresholds"":[{""value"":0.15,""flagrate"":0.43,""confidence"":0,""created_on"":""2026-06-03T14:58:05Z"",""closing_month"":""03-2026""},{""value"":0.17,""flagrate"":0.43,""confidence"":0,""created_on"":""2026-06-04T12:32:34Z"",""closing_month"":""12-2025""}]}]",,0.150,"[{""company"":{""id"":290228,""name"":""FORMM""},""history"":[{""01-2026"":59932.89},{""02-2026"":65642.68},{""03-2026"":74634.52},{""01-2025"":61637.14},{""02-2025"":49080.75},{""05-2025"":41498.56},{""08-2025"":48307.6},{""09-2025"":44917.78},{""10-2025"":54317.59},{""11-2025"":42114.13},{""12-2025"":57056.97},{""03-2025"":48209.02},{""04-2025"":39794.62},{""06-2025"":41734.68},{""07-2025"":41103.39}],""avg_absdelta"":0.13,""coefficient_of_variation"":0.77}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
23,5001 direct wages,cogs,fixed,"[{""company"":{""id"":290224,""name"":""Pittwater""},""thresholds"":[{""value"":0.58,""flagrate"":0.04,""confidence"":0,""created_on"":""2026-06-03T15:08:15Z"",""closing_month"":""12-2025""},{""value"":0.81,""flagrate"":0.12,""confidence"":0,""created_on"":""2026-06-03T15:11:18Z"",""closing_month"":""12-2023""},{""value"":0.81,""flagrate"":0.04,""confidence"":0,""created_on"":""2026-06-03T15:15:11Z"",""closing_month"":""12-2023""},{""value"":0.15,""flagrate"":0.52,""confidence"":0,""created_on"":""2026-06-04T13:12:38Z"",""closing_month"":""02-2026""}]}]",,0.150,"[{""company"":{""id"":290224,""name"":""Pittwater""},""history"":[{""05-2025"":29734.71},{""10-2025"":29360.39},{""11-2025"":43971.7},{""01-2025"":26833.33},{""04-2025"":32868.43},{""06-2025"":26028.6},{""07-2025"":34071.61},{""08-2025"":29470.64},{""09-2025"":20580.3},{""12-2025"":57653.59},{""02-2025"":28949.83},{""03-2025"":31116.99},{""01-2023"":7581.67},{""03-2023"":16729.17},{""04-2023"":16729.17},{""07-2023"":16669.17},{""08-2023"":19795.18},{""12-2023"":18079.17},{""02-2023"":16699.17},{""05-2023"":16729.17},{""06-2023"":16917.95},{""09-2023"":30260.66},{""10-2023"":22795.49},{""11-2023"":18079.16},{""01-2026"":8095.19},{""02-2026"":22314.41}],""avg_absdelta"":0.32,""coefficient_of_variation"":1.29}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
24,50063 fulfillment center wages,cogs,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
25,5021 dl - ee wages,cogs,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
26,5021 employee pr - dl wages,cogs,fixed,"[{""company"":{""id"":511616,""name"":""Kahn Media, Inc.""},""thresholds"":[{""value"":0.15,""flagrate"":0,""confidence"":0,""created_on"":""2026-06-03T14:59:37Z"",""closing_month"":""03-2026""}]}]",,0.150,"[{""company"":{""id"":511616,""name"":""Kahn Media, Inc.""},""history"":[{""12-2025"":114103.28},{""01-2026"":110842.77},{""02-2026"":96202.91},{""03-2026"":96003.09}],""avg_absdelta"":0.05,""coefficient_of_variation"":1.03}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
