id,code,type,volatility,threshold,absolute_threshold,policy_min_threshold,history_and_avg_absdelta,impact_score,missed_flag_sample,false_flag_sample,created_at,updated_at,special_term,mad,k_and_flagrate,categories
2,1-65530 Salaries and Wages,opex,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
3,1-65540 Tech Salaries,opex,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
16,3-65530 Salaries and Wages,opex,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
17,4-65530 Salaries and Wages,opex,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
18,5001 Direct Labor - Wages,cogs,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
19,5001 Direct Labor Salaries & Wages,cogs,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
20,5001 Direct Wages,cogs,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
21,50063 Fulfillment Center Wages,cogs,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
22,5021 DL - EE Wages,cogs,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
23,5021 Employee PR - DL Wages,cogs,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
24,5100 Direct Salaries & Benefits,cogs,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
25,5101 Direct Labor PR - Wages,cogs,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
26,5101 Direct Wages,cogs,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
27,5110 Direct Labor - Wages,cogs,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
28,51110-000 Salaries and Wages,cogs,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
29,5130 Direct Labor - OT,cogs,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
30,5140 Direct Labor - PTO,cogs,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
31,5185 Direct Labor - Other Benefits,cogs,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
32,52101-000 Salaries and Wages,cogs,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
33,5221 The TREAD Agency - DL Wages,cogs,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
34,53101-000 Salaries and Wages,cogs,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
35,5503 Sales - Salary,cogs,fixed,,,0.15,,,,,2026-05-09 20:17:08.369087+00,2026-05-15 09:27:26.619068+00,FALSE,,"[{""k"":[{""stats"":{""flag_rate"":0,""created_on"":""2026-05-16T00:00:00Z""},""value"":2}],""company"":{""name"":""Summit Strategy""}}]",wages
