code,category
5100 Direct Labor,wages
5110 Direct Labor - Wages,wages
5130 Direct Labor - OT,wages
5140 Direct Labor - PTO,wages
5150 Direct Labor - Bonuses,wages
6000 Payroll,wages
6020 Payroll - Employees,wages
6021 Employee Wages,wages
6024 Employee PTO,wages
6025 Employee Bonuses,wages
6404 HSA Contribution,wages
6405 Worker's Comp,wages
5100 Direct Labor - COGS,wages
5101 Direct Labor PR - Wages,wages
5103 Direct Labor PR - Commiss...,wages
5104 Direct Labor PR - Health ...,wages
5105 Direct Labor PR - Wellnes...,wages
6100 Indirect Labor - Employees,wages
6101 Employee PR - Wages,wages
6101.2 Wages - Social Media Ma...,wages
6101.3 Wages - Social Media Ad...,wages
6101.4 Wages - SEM,wages
6101.5 Wages - Sales,wages
6101.6 Wages - Video,wages
52100-000 Payroll Expenses,wages
52101-000 Salaries and Wages,wages
52103-001 Benefits,wages
53100-000 Payroll Expenses,wages
53101-000 Salaries and Wages,wages
53103-001 Benefits,wages
60010-000 Payroll Expenses,wages
60011-000 Salaries and Wages,wages
65100-000 Payroll Expenses,wages
65101-000 Salaries and Wages,wages
5001 Direct Labor - Wages,wages
6350 Payroll Expenses,wages
3-65500 Payroll Expenses,wages
3-65520 Bonuses,wages
3-65530 Salaries and Wages,wages
6450 Payroll Expenses,wages
6451 Salaries and Wages,wages
6454 Workers Comp,wages
60000 Payroll Expenses,wages
6020 Payroll Expenses,wages
6022 Wages,wages
6400 Payroll Expenses,wages
6401 Employee Wages,wages
6404 Employee Bonus,wages
6403 Bradley Feldman - Payroll,wages
6404 Jacci Pearce - Payroll,wages
6000 Payroll Expenses,wages
6001 Wages,wages
5001 Direct Labor Salaries & Wages,wages
5002 Direct Labor Employer Taxes,wages
6003 Indirect Salaries & Wages,wages
6009 Bonus,wages
6025 Payroll Expenses,wages
6030 Wages,wages
5503 Sales - Salary,wages
6350 Payroll & Other Employee Exp.,wages
6351 Payroll Services,wages
6356 Salaries & Wages,wages
6358 Overtime,wages
6359 Margin Bonus,wages
6360 PTO,wages
6361 Bonus & Incentives,wages
5010 Direct Labor,wages
5021 DL - EE Wages,wages
5023 DL - Bonus,wages
6023 Employee Bonus,wages
51100-000 Payroll Expenses,wages
51110-000 Salaries and Wages,wages
51130-001 Benefits,wages
60014-001 Benefits,wages
65102-001 Benefits,wages
5020 Direct Payroll Expenses,wages
5021 Employee PR - DL Wages,wages
5023 Employee PR - DL PTO,wages
5120 The Garage Agency - Direct Payroll Expen...,wages
5220 The TREAD Agency - Direct Payroll Expenses,wages
5221 The TREAD Agency - DL Wages,wages
6000 Indirect Payroll Expenses,wages
6020 Payroll Expenses - Employee,wages
6021 Employee PR - Wages,wages
6023 Employee PR - PTO,wages
6024 Employee PR - Bonuses,wages
6030 Payroll Expense - 401k EE Match,wages
6031 Payroll Expense - Medical Benefits,wages
6033 Payroll Expense - Worker'...,wages
4-65500 Payroll Expenses,wages
4-65530 Salaries and Wages,wages
5100 Direct Payroll Expense,wages
5101 Direct Wages,wages
6000 Payroll Expense,wages
6025 Benefits,wages
60002 Salaries & Wages,wages
60005 Bonus,wages
60006 Profit Share Contributions,wages
1-54000 Direct Labor,wages
1-65500 Payroll Expenses,wages
1-65520 Bonuses,wages
1-65530 Salaries and Wages,wages
1-65540 Tech Salaries,wages
6550 Payroll Expenses,wages
6551 Salaries & Wages,wages
6553 Employer Taxes & Benefits,wages
6555 Bonus,wages
6556 Unemployement Benefits,wages
5001 Direct Wages,wages
6700 Payroll & Employee Expenses,wages
6701 Salaries & Wages,wages
6705 401K Match,wages
6706 Health Benefits,wages
6707 Other Benefits,wages
6709 Bonus,wages
5100 Direct Salaries & Benefits,wages
5130 Direct Labor - 401K,wages
5150 Direct Labor - Bonus,wages
5180 Direct Labor - Worker's Comp,wages
5185 Direct Labor - Other Benefits,wages
6100 Indirect Salaries & Benefits,wages
6110 Employee PR - Wages,wages
6111 Employee PR - Bonus,wages
6140 Employee PR - PTO,wages
6180 Employee PR - Worker's Comp,wages
6220 Retirement & Benefits,wages
5310 Payroll - Direct,wages
5315 Benefits - Direct,wages
5330 Vacation - Direct,wages
6010 Payroll - G&A,wages
6015 Benefits - G&A,wages
6030 Vacation - G&A,wages
6002 Salaries & Wages,wages
6004 Employee Bonus,wages
6011 PTO Expense,wages
6450 Payroll Benefits,wages
55000 Direct Labor,wages
60001 Salaries & Wages,wages
60006 Bonus,wages
50015 Direct Labor,wages
60020 Wages,wages
60040 401K Match,wages
60050 Bonus,wages
60070 Other Benefits,wages
50063 Fulfillment Center Wages,wages
60000 Payroll Expense,wages
60010 Salaries & Wages,wages
60031 401K Match,wages
60040 Bonus,wages
6300 Indirect Payroll Expenses,wages
51200 Direct Labor,wages
64000 Payroll Expenses,wages
64100 Wages,wages
64500 Bonus,wages
22100-000 401k Withholding,wages
22200-001 Payroll Clearing,wages
22200-002 Payroll benefits,wages
6600 Office Supplies & Software,subscriptions
6200 Computer Software & Inter...,subscriptions
6300 Dues & Subscriptions,subscriptions
62500 Dues and Subscriptions,subscriptions
5040 Software COGS - Apps & Other,subscriptions
6151 Dues & Subscriptions,subscriptions
6158 Software & apps,subscriptions
60101-000 Dues and Subscriptions,subscriptions
65270-000 Dues and Subscriptions,subscriptions
12700-000 Software Development Costs,subscriptions
5004 Software & App COGS,subscriptions
6201 Dues & Subscription,subscriptions
6206 Software & Apps,subscriptions
2-61000 Dues and Subscriptions,subscriptions
3-61000 Dues and Subscriptions,subscriptions
6250 Dues and Subscriptions,subscriptions
40000 Monthly Membership Fees,subscriptions
62500 Dues & Subscriptions,subscriptions
6130 Dues & Subscriptions,subscriptions
5005 Software & App COGS,subscriptions
"6275 Software, Apps, Subscriptions",subscriptions
6153 Dues & Subscriptions,subscriptions
6158 Software & Apps,subscriptions
6040 Dues & Membership,subscriptions
6041 Douglas Elliman Dues,subscriptions
6045 Other Dues & Memberships,subscriptions
6300 Systems & Software,subscriptions
6715 Software Expense,subscriptions
6055 Dues and Subscriptions,subscriptions
6063 Software Expenses,subscriptions
6101 Dues & Subscriptions,subscriptions
6100 Dues and Subscriptions,subscriptions
6155 Office Software,subscriptions
5003 Software & Apps - COGS,subscriptions
6307 Software & Apps,subscriptions
5004 SaaS Software,subscriptions
6155 Software & Apps,subscriptions
40100-000 Membership Dues,subscriptions
40100-007 Premium Membership,subscriptions
40100-008 Community Subscription,subscriptions
